restaurantName,menuItem,servingSize,calories,carbohydrateContent,cholesterolContent,fatContent,fiberContent,proteinContent,saturatedFatContent,sodiumContent,sugarContent,transFatContent,unsaturatedFatContent
Subway,Dell Heroes #15 Titan Turkey,251 g,490,40,65,23,2,30,7,1310,5,0,
Subway,Dell Heroes #17 Garlic Roast Beef,247 g,480,43,65,21,2,30,7,1200,7,0,
Subway,Dell Heroes #30 The Beast,317 g,730,45,115,44,3,40,14,2080,7,1,
Subway,Dell Heroes #99 Grand Slam Ham,251 g,500,43,65,24,2,28,8,1340,6,0,
Subway,Cheesesteaks #1 The Philly,192 g,500,41,85,25,2,28,9,1310,5,1,
Subway,Cheesesteaks #2 The Outlaw®,198 g,490,40,90,22,2,30,9,1230,5,0,
Subway,Cheesesteaks #3 The Monster™™,213 g,580,42,105,30,2,36,11,1270,6,1,
Subway,Cheesesteaks #33 Teriyaki Blitz,207 g,450,53,75,14,4,30,7,1480,18,0,
Subway,Itallanos #4 Supreme Meats,262 g,590,44,85,32,3,30,12,1810,7,0,
Subway,Itallanos #6 The Boss,275 g,670,54,85,36,4,31,16,1710,8,0,
Subway,Itallanos #18 Ultimate B.M.T.®,240 g,560,43,75,30,3,27,11,1570,6,1,
Subway,Itallanos #23 Hotshot Italiano,238 g,620,43,85,38,3,26,14,1750,6,0,
Subway,Chicken #7 The MexiCali (with Smashed Avocado),282 g,540,43,90,27,5,29,9,1300,6,0,
Subway,Chicken #7 The MexiCali (with Sliced Avocado),275 g,520,43,90,25,5,29,9,1180,6,0,
Subway,Chicken #8 The Great Garlic,262 g,570,43,105,29,3,34,10,1260,6,0,
Subway,Chicken #16 All-Pro Sweet Onion Teriyaki,256 g,430,55,70,11,4,30,5,1260,20,0,
Subway,Chicken #20 Elite Chicken & Bacon Ranch,262 g,570,43,105,29,3,34,10,1210,6,0,
Subway,Clubs #10 All-American Club®,242 g,530,43,75,28,2,27,10,1510,7,0,
Subway,Clubs #11 Subway Club®,263 g,500,43,75,24,4,31,8,1540,8,0,
Subway,Clubs #12 Turkey Cali Club™™ (with Smashed Avocado),275 g,600,43,75,34,6,32,10,1290,7,0,
Subway,Clubs #12 Turkey Cali Club™™ (with Sliced Avocado),268 g,580,43,70,32,6,32,10,1170,7,0,
Subway,Clubs #19 Pickleball Club™™,251 g,500,47,70,22,2,27,9,1700,10,0,
Subway,6" Build Your Own Sandwiches 6" Black Forest Ham,219 g,280,42,30,4,5,20,1,860,7,0,
Subway,6" Build Your Own Sandwiches 6" Cold Cut Combo®,254 g,380,42,55,12,3,25,3,1380,6,0,
Subway,6" Build Your Own Sandwiches 6" Grilled Chicken,219 g,320,41,45,10,3,17,3,1000,6,0,
Subway,6" Build Your Own Sandwiches 6" Meatball Marinara,233 g,290,40,50,4,5,27,1,580,6,0,
Subway,6" Build Your Own Sandwiches 6" Oven Roasted Turkey,211 g,460,50,40,20,4,20,8,1110,8,0,
Subway,6" Build Your Own Sandwiches 6" Roast Beef,219 g,270,40,25,4,5,21,1,820,6,0,
Subway,6" Build Your Own Sandwiches 6" Rotisserie-Style Chicken,233 g,310,42,40,5,5,25,2,790,8,0,
Subway,6" Build Your Own Sandwiches 6" Steak (Includes American Cheese),233 g,310,40,50,6,5,25,2,760,6,0,
Subway,6" Build Your Own Sandwiches 6" Buffalo Chicken (with Grilled Chicken),167 g,360,40,65,10,2,26,5,1040,5,0,
Subway,6" Build Your Own Sandwiches 6" Tuna,229 g,470,40,40,25,2,20,5,690,5,0,
Subway,6" Build Your Own Sandwiches 6" Veggie Delite®,162 g,210,39,0,3,5,10,0,370,6,0,
Subway,6" Limited Time Offer/Regional Subs** 6" Big Hot Pastrami**,219 g,510,41,80,27,2,27,9,1790,5,0,
Subway,6" Limited Time Offer/Regional Subs** 6" B.L.T.**,157 g,370,40,35,15,2,18,5,720,5,0,
Subway,6" Limited Time Offer/Regional Subs** 6" Oven Roasted Turkey and Ham**,219 g,280,41,25,4,5,20,1,840,7,0,
Subway,6" Limited Time Offer/Regional Subs** 6" Pizza Sub**,171 g,460,44,60,24,3,18,10,1500,7,1,
Subway,6" Limited Time Offer/Regional Subs** 6" Veggie Patty**,247 g,390,56,0,11,13,16,1,690,8,0,
Subway,Kids' Mini Sub Veggie Delite®,108 g,140,26,0,2,3,7,0,250,4,0,
Subway,Kids' Mini Sub Black Forest Ham,137 g,180,27,15,3,3,12,1,490,4,0,
Subway,Kids' Mini Sub Oven Roasted Turkey,137 g,170,26,15,2,3,12,0,470,4,0,
Subway,Make any Build Your Own Sandwich into a Wrap Black Forest Ham Wrap,307 g,440,58,55,11,3,28,2,1570,6,0,
Subway,Make any Build Your Own Sandwich into a Wrap Buffalo Chicken Wrap (with Grilled Chicken),356 g,560,56,110,19,3,42,4,1800,5,0,
Subway,Make any Build Your Own Sandwich into a Wrap Cold Cut Combo® Wrap,314 g,530,55,95,23,3,27,5,1820,5,0,
Subway,Make any Build Your Own Sandwich into a Wrap Grilled Chicken Wrap,335 g,470,54,100,11,3,42,2,1010,5,0,
Subway,Make any Build Your Own Sandwich into a Wrap Meatball Marinara Wrap,381 g,810,76,75,43,7,32,15,2040,11,0,
Subway,Make any Build Your Own Sandwich into a Wrap Oven Roasted Turkey Wrap,307 g,420,54,55,10,4,30,2,1500,5,0,
Subway,Make any Build Your Own Sandwich into a Wrap Roast Beef Wrap,335 g,500,58,75,14,3,38,3,1440,7,0,
Subway,Make any Build Your Own Sandwich into a Wrap Rotisserie-Style Chicken Wrap,335 g,500,54,105,15,4,38,3,1380,4,0,
Subway,Make any Build Your Own Sandwich into a Wrap Steak Wrap (Includes American Cheese),269 g,570,55,120,20,3,43,7,1700,4,0,
Subway,Make any Build Your Own Sandwich into a Wrap Tuna Wrap,335 g,820,53,75,54,3,33,8,1210,4,1,
Subway,Make any Build Your Own Sandwich into a Wrap Veggie Delite® Wrap,285 g,330,57,0,8,4,10,1,600,6,0,
Subway,Make any Sandwich into a Wrap Limited Time Offer/Regional Wrap Big Hot Pastrami Wrap**,363 g,860,56,150,53,3,46,15,2930,5,0,
Subway,Make any Sandwich into a Wrap Limited Time Offer/Regional Wrap B.L.T. Wrap**,218 g,620,54,65,33,3,29,10,1270,5,0,
Subway,Make any Sandwich into a Wrap Limited Time Offer/Regional Wrap Oven Roasted Turkey & Ham Wrap**,307 g,430,56,55,11,4,29,2,1540,5,0,
Subway,Make any Sandwich into a Wrap Limited Time Offer/Regional Wrap Pizza Sub Wrap**,238 g,720,59,100,44,3,26,16,2290,5,1,
Subway,Make any Sandwich into a Wrap Limited Time Offer/Regional Wrap Veggie Patty Wrap**,363 g,660,87,0,26,19,21,3,1230,8,0,
Subway,Make any Sandwich into a Salad Black Forest Ham,344 g,120,12,30,3,4,13,1,570,6,0,
Subway,Make any Sandwich into a Salad Buffalo Chicken (with Grilled Chicken),414 g,300,13,65,19,5,20,4,1180,7,0,
Subway,Make any Sandwich into a Salad Cold Cut Combo®,351 g,160,10,45,9,4,12,2,700,5,0,
Subway,Make any Sandwich into a Salad Grilled Chicken,358 g,130,10,50,3,4,19,1,280,5,0,
Subway,Make any Sandwich into a Salad Meatball Marinara,426 g,300,23,35,19,6,15,7,790,9,0,
Subway,Make any Sandwich into a Salad Oven Roasted Turkey,344 g,110,10,25,3,4,14,0,530,5,0,
Subway,Make any Sandwich into a Salad Roast Beef,358 g,150,12,40,4,4,17,1,500,6,0,
Subway,Make any Sandwich into a Salad Rotisserie-Style Chicken,358 g,150,10,50,5,4,18,2,470,5,0,
Subway,Make any Sandwich into a Salad Steak (Includes American Cheese),370 g,210,12,65,9,4,22,4,740,6,0,
Subway,Make any Sandwich into a Salad Tuna,362 g,310,10,40,24,4,15,4,390,5,0,
Subway,Make any Sandwich into a Salad Veggie Delite®,287 g,50,9,0,1,4,3,0,75,5,0,
Subway,Make any Sandwich into a Salad Limited Time Offer/Regional Big Hot Pastrami**,450 g,370,14,80,26,5,24,8,1670,7,0,
Subway,Make any Sandwich into a Salad Limited Time Offer/Regional B.L.T.**,317 g,210,11,35,14,4,13,5,420,6,0,
Subway,Make any Sandwich into a Salad Limited Time Offer/Regional Oven Roasted Turkey & Ham**,344 g,110,11,25,3,4,13,1,550,5,0,
Subway,Make any Sandwich into a Salad Limited Time Offer/Regional Pizza Sub**,374 g,310,16,60,23,5,14,10,1200,8,1,
Subway,Make any Sandwich into a Salad Limited Time Offer/Regional Veggie Patty**,372 g,220,26,0,10,12,9,1,390,7,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Black Forest Ham,302 g,170,12,55,5,3,21,2,1050,6,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Buffalo Chicken (with Grilled Chicken),414 g,380,13,115,21,4,36,4,2080,7,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Cold Cut Combo®,316 g,260,9,95,16,3,20,4,1310,5,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Grilled Chicken,330 g,200,9,100,4,3,35,2,480,5,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Meatball Marinara,469 g,560,34,75,37,8,27,14,1560,13,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Oven Roasted Turkey,302 g,150,8,50,4,3,23,1,970,5,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Roast Beef,330 g,230,12,75,7,3,30,2,920,7,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Rotisserie-Style Chicken,325 g,220,8,105,8,3,31,3,810,4,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Steak (Includes American Cheese),358 g,380,12,140,19,4,42,9,1150,5,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Tuna,337 g,550,8,75,47,3,26,8,690,4,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Big Hot Pastrami**,490 g,680,15,165,52,5,45,18,2670,7,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional B.L.T.**,248 g,360,10,65,26,3,22,9,760,6,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Oven Roasted Turkey & Ham**,302 g,160,10,55,4,3,22,1,1010,6,0,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Pizza Sub**,372 g,610,18,135,48,5,30,22,1830,8,1,
Subway,Protein Bowls Make any Footlong a Protein Bowl Limited Time Offer/Regional Veggie Patty**,358 g,380,41,0,19,19,14,2,700,8,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Black Forest Ham, Egg & Cheese Flatbread,170 g,400,28,265,22,1,21,6,900,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Egg & Cheese Flatbread,141 g,360,27,250,21,1,16,6,650,2,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Bacon, Egg & Cheese Flatbread,156 g,440,28,270,27,1,21,8,820,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Flatbread 6" Steak, Egg & Cheese Flatbread,184 g,430,28,285,23,1,26,7,920,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Black Forest Ham, Egg & Cheese,195 g,450,41,265,21,2,24,6,1050,5,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Egg & Cheese,167 g,420,40,250,20,2,19,6,800,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Bacon, Egg & Cheese,182 g,500,40,270,26,2,24,8,970,5,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on 6" Artisan Italian 6" Steak, Egg & Cheese,209 g,490,41,285,23,2,29,7,1070,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Black Forest Ham, Egg & Cheese,340 g,770,57,520,42,2,40,10,1720,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Egg & Cheese,283 g,700,55,495,40,2,30,10,1230,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Bacon, Egg & Cheese,313 g,860,56,525,53,2,40,14,1570,4,0,
Subway,BREAKFAST & PIZZA & SLIDERS Egg Patty on Plain Wrap Steak, Egg & Cheese,354 g,820,56,550,45,2,47,12,1680,4,1,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Cheese,293 g,700,95,50,22,4,29,9,1370,8,1,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Bacon**,308 g,780,96,65,28,4,34,12,1540,9,0,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Meatball**,330 g,810,98,70,31,5,35,13,1590,8,0,
Subway,BREAKFAST & PIZZA & SLIDERS 8" Pizza** Pepperoni,311 g,780,96,70,29,5,33,12,1660,8,1,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Ham & Jack (includes Pepper Jack Cheese)**,71 g,160,20,20,4,<1,10,2,540,2,0,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Italian Spice (includes American Cheese and MVP Parmesan Vinaigrette®)**,72 g,250,20,30,15,1,9,5,730,2,0,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Little Cheesesteak (includes American Cheese and Baja Chipotle Sauce)**,71 g,180,20,20,7,1,8,3,440,3,0,
Subway,BREAKFAST & PIZZA & SLIDERS Sliders Turkey (includes Pepper Jack Cheese and Mayonnaise)**,81 g,200,19,25,9,<1,11,3,520,2,0,
Subway,BREADS & INGREDIENTS Breads 6" Artisan Flatbread,78 g,220,40,0,4,1,7,1,360,2,0,
Subway,BREADS & INGREDIENTS Breads New Flatbread,45 g,140,24,0,3,1,4,0,220,2,0,
Subway,BREADS & INGREDIENTS Breads 6" Artisan Italian Bread,71 g,200,37,0,2,1,7,1,370,3,0,
Subway,BREADS & INGREDIENTS Breads 6" Hearty Multigrain Bread,71 g,200,36,0,2,3,9,0,360,4,0,
Subway,BREADS & INGREDIENTS Breads 6" Italian Herbs & Cheese Bread,82 g,240,40,10,5,2,9,2,560,3,0,
Subway,BREADS & INGREDIENTS Breads 6" Jalapeño Cheddar Bread**,82 g,230,37,5,5,2,9,2,490,3,0,
Subway,BREADS & INGREDIENTS Breads New Wrap,90 g,280,49,0,5,2,9,1,440,3,0,
Subway,BREADS & INGREDIENTS Breads Wrap,102 g,300,50,0,8,2,8,1,580,2,0,
Subway,BREADS & INGREDIENTS Breads Mini Artisan Italian Bread,47 g,130,24,0,1,1,5,0,250,2,0,
Subway,BREADS & INGREDIENTS Breads Mini Hearty Multigrain Bread,47 g,130,24,0,2,2,6,0,240,3,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Baja Chipotle,14 g,70,1,5,1,0,0,0,125,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Creamy Sriracha,14 g,40,2,5,4,0,0,1,240,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Frank's RedHot® Buffalo Sauce,14 g,5,1,0,0,0,0,0,350,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Giardiniera,28 g,80,1,0,9,0,0,0,340,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Honey Mustard,14 g,60,3,5,5,0,3,0,125,3,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Mayonnaise,14 g,100,0,10,11,0,0,0,65,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Mustard, Yellow,14 g,10,1,0,1,0,0,0,170,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings MVP Parmesan Vinaigrette®,14 g,60,1,0,6,0,1,0,150,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Oil,5 g,45,0,0,5,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Oil & Vinegar,9 g,45,0,0,5,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Peppercorn Ranch Sauce,14 g,80,1,5,8,0,0,0,100,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Red Wine Vinegar,4 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Roasted Garlic Aioli,14 g,80,1,5,9,0,0,0,150,1,0,
Subway,BREADS & INGREDIENTS Sandwich Condiments and Toppings Sweet Onion Teriyaki Sauce,14 g,30,7,0,0,0,6,0,130,0,0,
Subway,BREADS & INGREDIENTS Seasonings and Spices Pepper, Black,0 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Seasonings and Spices Oregano**,0 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Seasonings and Spices Salt,0 g,0,0,0,0,0,0,0,160,0,0,
Subway,BREADS & INGREDIENTS Vegetables Avocado, Sliced **,28 g,45,2,0,4,2,0,1,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Avocado, Smashed **,35 g,70,3,0,6,2,0,1,130,0,0,
Subway,BREADS & INGREDIENTS Vegetables Banana Peppers (3 rings),4 g,0,0,0,0,0,0,0,65,0,0,
Subway,BREADS & INGREDIENTS Vegetables Cucumbers (3 slices),14 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Green Chiles**,14 g,5,<1,0,0,0,0,0,95,0,0,
Subway,BREADS & INGREDIENTS Vegetables Green Peppers (3 strips),7 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Jalapeno Peppers (3 rings),4 g,0,0,0,0,0,0,0,70,0,0,
Subway,BREADS & INGREDIENTS Vegetables Lettuce,21 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Olives, Black (3 rings),3 g,0,0,0,0,0,0,0,25,0,0,
Subway,BREADS & INGREDIENTS Vegetables Onions,7 g,0,0,0,0,0,0,0,0,0,0,
Subway,BREADS & INGREDIENTS Vegetables Pickles, Crinkle (3 chips),12 g,0,0,0,0,0,0,0,160,0,0,
Subway,BREADS & INGREDIENTS Vegetables Spinach, Baby,7 g,0,0,0,0,0,0,0,5,0,0,
Subway,BREADS & INGREDIENTS Vegetables Tomatoes (3 wheels),35 g,5,6,0,0,0,1,0,10,0,0,
Subway,BREADS & INGREDIENTS Cheese American,11 g,40,1,10,4,0,2,2,210,0,0,
Subway,BREADS & INGREDIENTS Cheese BelGioioso® Fresh Mozzarella,17 g,40,0,10,3,0,3,2,55,0,0,
Subway,BREADS & INGREDIENTS Cheese Monterey Cheddar, Shredded,14 g,50,1,15,5,0,3,3,85,0,0,
Subway,BREADS & INGREDIENTS Cheese Mozzarella, Shredded**,14 g,45,1,10,4,0,3,0,85,0,0,
Subway,BREADS & INGREDIENTS Cheese Parmesan Grated,1 g,5,0,0,0,0,1,0,25,0,0,
Subway,BREADS & INGREDIENTS Cheese Pepper Jack,14 g,50,0,15,4,0,3,3,140,0,0,
Subway,BREADS & INGREDIENTS Cheese Provolone,14 g,50,0,10,4,0,4,2,125,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins All-American Club Meats (Ham, Turkey, Bacon),72 g,140,2,45,8,0,15,3,650,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Bacon (2 strips),15 g,80,1,15,6,0,5,3,170,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Black Forest Ham,57 g,70,2,30,2,0,10,1,490,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Capicola (3 slices),22 g,35,1,15,2,0,4,1,240,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Cold Cut Combo® Meats,64 g,110,1,45,8,0,9,1,620,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Egg Patty,85 g,180,2,240,15,0,10,4,220,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins Genoa Salami (3 slices),18 g,70,1,20,6,0,3,3,260,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins Grilled Chicken,71 g,80,1,50,2,0,16,2,210,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Grilled Chicken, Buffalo,99 g,90,2,50,2,0,17,1,900,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Grilled Chicken, Sweet Onion Teriyaki Glazed,85 g,110,9,50,2,0,16,1,350,8,0,
Subway,BREADS & INGREDIENTS Individual Proteins Meatballs,139 g,250,13,35,18,2,12,7,720,5,0,
Subway,BREADS & INGREDIENTS Individual Proteins Oven Roasted Turkey,57 g,60,0,25,2,0,11,1,450,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins Pastrami**,57 g,130,1,35,10,0,9,3,470,1,0,
